;Age;Sex;Job;Housing;Saving accounts;Checking account;Credit amount;Duration;Purpose;Risk
105;41;female;1;own;moderate;moderate;5954;42;business;good
106;40;male;3;own;little;little;1977;36;education;bad
107;66;male;3;free;moderate;little;1526;12;car;good
108;34;male;2;own;little;little;3965;42;radio/TV;bad
109;51;male;2;own;moderate;moderate;4771;11;radio/TV;good
110;39;male;1;own;little;little;9436;54;car;good
111;22;male;2;own;moderate;moderate;3832;30;furniture/equipment;good
112;44;female;2;own;little;little;5943;24;radio/TV;bad
113;47;male;2;own;quite rich;moderate;1213;15;radio/TV;good
114;24;female;1;rent;moderate;little;1568;18;business;good
115;58;female;1;own;little;moderate;1755;24;vacation/others;good
116;52;male;1;own;little;little;2315;10;radio/TV;good
117;29;female;3;own;little;moderate;1412;12;business;good
118;27;female;2;own;little;little;1295;18;furniture/equipment;good
119;47;male;2;free;moderate;moderate;12612;36;education;bad
120;30;male;3;own;moderate;little;2249;18;car;good
121;28;male;2;own;little;moderate;1108;12;repairs;bad
122;56;male;2;own;little;little;618;12;radio/TV;good
123;54;male;2;own;little;moderate;1409;12;car;good
124;33;female;1;own;little;little;797;12;radio/TV;bad
125;20;male;2;rent;little;moderate;3617;24;furniture/equipment;good
126;54;male;2;own;little;little;1318;12;car;good
127;58;male;2;rent;little;moderate;15945;54;business;bad
128;61;female;2;own;little;little;2012;12;education;good
129;34;male;2;own;little;moderate;2622;18;business;good
130;36;male;2;own;little;moderate;2337;36;radio/TV;good
131;36;male;3;rent;little;moderate;7057;20;car;good
132;41;male;1;rent;little;little;1469;24;car;good
133;24;male;2;rent;little;moderate;2323;36;radio/TV;good
134;24;female;2;own;little;little;932;6;radio/TV;good
135;35;male;2;rent;little;moderate;1919;9;furniture/equipment;good
136;26;male;2;rent;little;little;2445;12;car;good
137;39;male;3;own;little;moderate;11938;24;vacation/others;bad
138;39;male;3;own;little;little;6458;18;car;bad
139;32;male;2;own;little;moderate;6078;12;car;good
140;30;female;2;own;little;little;7721;24;furniture/equipment;good
141;35;male;2;own;quite rich;moderate;1410;14;business;good
142;31;male;2;own;moderate;moderate;1449;6;business;good
143;23;female;2;rent;little;rich;392;15;education;good
144;28;male;1;rent;little;moderate;6260;18;car;good
145;25;female;2;own;little;little;7855;36;car;bad
146;35;male;2;own;quite rich;little;1680;12;radio/TV;good
147;47;male;2;own;little;little;3578;48;radio/TV;good
148;30;female;3;own;little;little;7174;42;radio/TV;bad
149;27;female;2;rent;little;little;2132;10;furniture/equipment;good
150;23;female;2;own;quite rich;little;4281;33;furniture/equipment;bad
151;36;male;3;own;quite rich;moderate;2366;12;car;good
152;25;female;2;own;little;little;1835;21;radio/TV;bad
153;41;female;3;rent;little;little;3868;24;car;good
154;24;male;1;rent;little;little;1768;12;furniture/equipment;good
155;63;male;2;free;little;rich;781;10;car;good
156;27;female;2;rent;little;moderate;1924;18;furniture/equipment;bad
157;30;male;2;own;little;little;2121;12;car;good
158;40;male;1;own;little;little;701;12;radio/TV;good
159;30;male;2;own;little;moderate;639;12;repairs;bad
160;34;male;3;own;little;moderate;1860;12;car;good
161;29;female;2;own;little;little;3499;12;car;bad
162;24;female;2;own;little;moderate;8487;48;car;good
163;29;male;2;own;little;little;6887;36;education;bad
164;27;male;1;own;little;little;2708;15;furniture/equipment;good
165;47;male;2;free;little;little;1984;18;furniture/equipment;good
166;21;female;2;own;moderate;little;10144;60;radio/TV;good
167;38;female;2;own;little;little;1240;12;radio/TV;good
168;27;male;2;own;rich;little;8613;27;car;good
169;66;male;1;own;quite rich;moderate;766;12;radio/TV;bad
170;35;male;2;own;little;moderate;2728;15;radio/TV;good
171;44;female;1;rent;little;rich;1881;12;radio/TV;good
172;27;male;0;own;rich;rich;709;6;car;good
173;30;female;3;own;little;moderate;4795;36;radio/TV;good
174;27;male;3;own;little;little;3416;27;radio/TV;good
175;22;male;2;own;little;little;2462;18;furniture/equipment;bad
176;23;female;2;own;little;little;2288;21;furniture/equipment;good
177;30;male;2;own;moderate;moderate;3566;48;business;good
178;39;female;2;own;little;little;860;6;car;good
179;51;female;2;own;moderate;little;682;12;car;good
180;28;male;2;own;little;little;5371;36;furniture/equipment;good
181;46;male;2;own;rich;little;1582;18;radio/TV;good
182;42;male;2;free;moderate;little;1346;6;radio/TV;good
183;38;male;2;own;little;little;1924;10;radio/TV;good
184;24;male;2;own;little;rich;5848;36;radio/TV;good
185;29;female;2;rent;rich;moderate;7758;24;car;good
186;36;male;3;rent;moderate;moderate;6967;24;business;good
187;20;female;2;rent;little;little;1282;12;furniture/equipment;bad
188;48;male;2;own;moderate;little;1288;9;repairs;good
189;45;male;1;own;little;little;339;12;education;good
190;38;male;2;own;moderate;moderate;3512;24;car;good
191;34;male;1;own;little;little;1898;6;radio/TV;good
192;36;male;2;own;moderate;little;2872;24;radio/TV;good
193;30;female;2;own;little;little;1055;18;car;good
194;36;male;2;own;quite rich;little;1262;15;domestic appliances;good
195;70;male;3;free;little;moderate;7308;10;car;good
196;36;male;2;own;quite rich;little;909;36;car;good
197;32;male;2;own;quite rich;little;2978;6;furniture/equipment;good
198;33;female;2;own;little;little;1131;18;furniture/equipment;bad
199;20;female;2;own;rich;moderate;1577;11;furniture/equipment;good
200;25;female;2;rent;little;little;3972;24;furniture/equipment;good
201;31;male;2;own;little;moderate;1935;24;business;bad
202;33;male;2;rent;little;little;950;15;car;bad
203;26;female;2;own;little;little;763;12;furniture/equipment;good
204;34;female;3;own;little;moderate;2064;24;furniture/equipment;bad
205;33;male;2;own;little;moderate;1414;8;radio/TV;good
206;26;male;2;own;little;little;3414;21;education;bad
207;53;female;3;own;little;little;7485;30;car;bad
208;42;male;2;own;little;little;2577;12;furniture/equipment;good
209;52;male;2;own;quite rich;little;338;6;radio/TV;good
210;31;male;3;rent;little;little;1963;12;radio/TV;good
211;65;male;2;own;little;little;571;21;car;good
212;28;male;2;own;little;little;9572;36;business;bad
213;30;male;3;own;little;moderate;4455;36;business;bad
214;40;male;1;own;little;little;1647;21;car;bad
215;50;male;2;own;rich;little;3777;24;furniture/equipment;good
216;36;male;2;own;little;moderate;884;18;car;bad
217;31;male;2;own;little;little;1360;15;radio/TV;good
218;74;female;3;free;little;moderate;5129;9;car;bad
219;68;male;0;free;little;moderate;1175;16;car;good
220;34;male;0;free;little;little;1199;23;gambling;bad
221;36;female;1;rent;little;moderate;1198;15;gambling;bad
222;30;male;1;rent;little;little;1211;10;gambling;bad
223;36;male;0;free;little;moderate;1224;36;gambling;bad
224;70;male;0;rent;little;moderate;1237;6;gambling;bad
225;36;male;1;own;little;little;1250;18;gambling;bad
226;32;male;1;free;moderate;moderate;1263;11;gambling;bad
227;33;male;0;rent;little;little;1276;24;gambling;bad
228;20;male;0;free;little;little;1289;24;gambling;bad
229;25;male;1;rent;little;moderate;1327;15;gambling;bad
230;34;female;0;rent;moderate;little;1343;12;gambling;bad
231;36;male;1;free;moderate;moderate;1359;24;gambling;bad
232;30;male;1;own;little;moderate;1001;8;gambling;bad
233;36;male;2;own;quite rich;moderate;9012;21;gambling;good
234;70;male;0;free;little;moderate;1022;30;gambling;bad
235;36;male;1;free;little;little;1039;12;gambling;bad
236;32;female;1;free;moderate;little;1056;6;gambling;bad
237;33;male;0;rent;little;moderate;1073;12;gambling;bad
238;20;male;0;rent;little;little;1090;21;gambling;bad
239;25;female;1;free;little;moderate;1307;36;gambling;bad
240;31;male;1;rent;little;little;1312;36;gambling;bad
241;33;male;0;own;little;moderate;1317;21;gambling;bad
242;26;female;1;free;moderate;little;1322;39;gambling;bad
243;34;male;1;rent;little;little;1327;27;gambling;bad
244;33;male;0;free;little;moderate;1332;12;gambling;bad
245;26;female;2;rent;quite rich;rich;8422;12;gambling;good
246;53;female;1;rent;little;little;2322;30;gambling;bad
247;42;male;1;free;moderate;little;2344;12;gambling;bad
248;52;male;0;rent;little;little;2366;12;gambling;bad
249;31;female;0;own;little;little;2388;24;gambling;bad
250;65;female;1;free;little;moderate;2410;12;gambling;bad
251;28;female;1;rent;little;moderate;2432;9;gambling;bad
252;30;male;2;own;moderate;little;674;36;radio/TV;bad
253;40;female;2;own;little;moderate;3244;27;furniture/equipment;good
254;50;male;3;own;rich;little;4591;30;business;bad
255;34;male;1;free;moderate;moderate;3844;48;business;bad
256;36;male;2;own;little;moderate;3915;27;business;bad
257;29;male;2;rent;little;little;2108;6;radio/TV;good
258;21;male;2;rent;moderate;moderate;3031;45;radio/TV;bad
259;34;female;3;own;little;moderate;1501;9;education;bad
260;28;female;2;own;little;little;1382;6;radio/TV;good
261;27;female;2;rent;moderate;moderate;951;12;furniture/equipment;bad
262;36;male;2;free;little;moderate;2760;24;car;good
263;40;male;3;own;little;moderate;4297;18;furniture/equipment;bad
264;52;male;2;own;quite rich;little;936;9;education;good
265;27;male;1;own;little;little;1168;12;car;good
266;26;male;2;own;little;little;5117;27;business;good
267;21;male;2;rent;little;little;902;12;education;bad
268;38;male;1;own;little;little;1495;12;car;good
269;38;male;3;free;little;little;10623;30;car;good
270;43;male;2;own;little;little;1935;12;furniture/equipment;good
271;26;male;2;own;little;moderate;1424;12;domestic appliances;good
272;21;male;1;own;little;little;6568;24;business;good
273;55;male;2;own;rich;little;1413;12;car;good
274;33;male;2;own;little;little;3074;9;radio/TV;good
275;45;female;1;own;little;little;3835;36;radio/TV;good
276;50;male;2;own;little;little;5293;27;business;bad
277;66;male;3;own;little;rich;1908;30;business;bad
278;51;male;2;own;little;little;3342;36;radio/TV;good
279;39;female;1;own;little;moderate;932;6;education;good
280;31;male;2;own;little;little;3104;18;business;good
281;23;male;2;own;little;rich;3913;36;radio/TV;good
282;24;male;1;rent;little;little;3021;24;furniture/equipment;good
283;64;female;2;own;little;little;1364;10;car;good
284;26;male;1;own;little;moderate;625;12;radio/TV;good
285;23;female;2;rent;little;little;1200;12;education;good
286;30;male;2;own;little;little;707;12;radio/TV;good
287;32;male;2;own;little;little;2978;24;business;good
288;30;male;2;own;little;little;4657;15;car;good
289;27;male;2;own;little;little;2613;36;repairs;good
290;27;male;2;own;rich;moderate;10961;48;radio/TV;bad
291;53;male;3;free;little;little;7865;12;furniture/equipment;bad
292;22;male;2;own;little;little;1478;9;radio/TV;bad
293;22;male;2;free;little;little;3149;24;furniture/equipment;good
294;26;male;2;own;little;rich;4210;36;radio/TV;bad
295;51;male;1;free;quite rich;little;2507;9;car;good
296;35;male;2;own;moderate;little;2141;12;radio/TV;good
297;25;male;1;own;little;moderate;866;18;radio/TV;good
298;42;male;1;own;little;little;1544;4;radio/TV;good
299;30;male;3;own;little;little;1823;24;radio/TV;bad
300;23;male;0;own;little;moderate;14555;6;car;bad
301;61;male;1;rent;moderate;moderate;2767;21;business;bad
302;35;female;2;own;little;little;1291;12;radio/TV;good
303;39;male;2;own;little;little;2522;30;radio/TV;good
304;29;female;2;own;little;little;915;24;car;bad
305;51;male;2;own;little;little;1595;6;radio/TV;good
306;24;male;2;free;little;little;4605;48;car;bad
307;27;female;2;own;little;little;1185;12;business;good
308;35;female;1;own;quite rich;little;3447;12;education;good
309;25;male;2;own;little;little;1258;24;business;good
310;52;male;2;own;little;little;717;12;radio/TV;good
311;35;male;2;rent;moderate;little;1204;6;car;good
312;26;male;2;own;little;rich;1925;24;furniture/equipment;good
313;22;female;2;rent;little;little;433;18;radio/TV;bad
314;39;female;1;own;rich;little;666;6;car;good
315;46;female;1;own;little;rich;2251;12;furniture/equipment;good
316;24;female;2;own;little;moderate;2150;30;car;bad
317;35;male;2;own;moderate;little;4151;24;furniture/equipment;good
318;24;male;2;own;little;moderate;2030;9;furniture/equipment;good
319;27;male;1;own;little;moderate;7418;60;radio/TV;good
320;35;male;1;own;little;little;2684;24;radio/TV;good
321;29;male;2;free;little;little;2149;12;radio/TV;bad
322;23;female;2;own;moderate;little;3812;15;car;good
323;57;female;1;own;moderate;little;1154;11;radio/TV;good
324;27;male;2;own;little;little;1657;12;furniture/equipment;good
325;55;female;2;own;little;little;1603;24;radio/TV;good
326;36;male;3;free;little;little;5302;18;car;good
327;57;female;1;free;little;little;2748;12;education;good
328;32;male;1;own;little;little;1231;10;car;good
329;37;male;2;own;little;moderate;802;15;radio/TV;bad
330;36;male;2;own;little;little;6304;36;business;good
331;38;female;2;own;little;little;1533;24;radio/TV;good
332;45;male;3;own;little;little;8978;14;car;bad
333;25;male;2;own;little;little;999;24;radio/TV;good
334;32;male;2;own;little;little;2662;18;car;good
335;37;female;2;rent;quite rich;little;1402;12;furniture/equipment;good
336;36;male;3;free;little;moderate;12169;48;car;good
337;28;male;2;own;little;moderate;3060;48;radio/TV;bad
338;34;male;1;own;little;little;11998;30;repairs;bad
339;32;male;2;own;little;little;2697;9;radio/TV;good
340;26;female;2;own;little;little;2404;18;radio/TV;good
341;49;male;1;own;little;little;1262;12;furniture/equipment;good
342;32;female;2;own;little;little;4611;6;furniture/equipment;bad
343;29;male;3;rent;moderate;little;1901;24;radio/TV;good
344;23;male;2;rent;rich;little;3368;15;car;good
345;50;male;2;own;little;little;1574;12;furniture/equipment;good
346;49;male;1;own;little;rich;1445;18;radio/TV;good
347;63;male;2;own;little;little;1520;15;furniture/equipment;good
348;37;male;2;own;moderate;moderate;3878;24;car;good
349;35;female;1;own;little;little;10722;47;car;good
350;26;male;2;own;little;little;4788;48;car;good
351;31;male;3;free;moderate;moderate;7582;48;vacation/others;good
352;49;female;2;own;little;moderate;1092;12;radio/TV;good
353;48;male;2;own;little;little;1024;24;radio/TV;bad
354;26;male;2;own;little;little;1076;12;business;good
355;28;male;3;rent;little;moderate;9398;36;car;bad
356;44;female;3;free;little;little;6419;24;car;good
357;56;male;2;free;little;rich;4796;42;car;good
358;46;male;3;own;little;little;7629;48;business;good
359;26;female;2;own;little;moderate;9960;48;furniture/equipment;bad
360;20;female;2;rent;little;little;4675;12;car;good
361;45;male;1;own;little;little;1287;10;car;good
362;43;male;2;own;little;little;2515;18;furniture/equipment;good
363;32;male;2;own;rich;moderate;2745;21;furniture/equipment;good
364;54;female;0;own;little;little;672;6;car;good
365;42;female;2;own;little;moderate;3804;36;radio/TV;bad
366;37;male;1;own;little;rich;1344;24;car;bad
367;49;male;2;own;little;little;1038;10;car;good
368;44;male;2;free;quite rich;little;10127;48;car;bad
369;33;male;2;own;rich;little;1543;6;furniture/equipment;good
370;24;female;1;rent;little;little;4811;30;car;good
371;33;male;1;own;moderate;little;727;12;radio/TV;bad
372;24;female;2;own;little;moderate;1237;8;furniture/equipment;bad
373;22;male;1;rent;little;moderate;276;9;car;good
374;40;male;0;free;little;moderate;5381;48;vacation/others;good
375;25;male;2;own;moderate;little;5511;24;furniture/equipment;good
376;26;female;2;own;little;rich;3749;24;furniture/equipment;good
377;25;male;1;own;little;moderate;685;12;car;bad
378;29;male;1;own;little;rich;1494;4;car;good
379;31;male;2;own;little;little;2746;36;furniture/equipment;bad
380;38;male;1;own;little;little;708;12;furniture/equipment;good
381;48;female;1;own;little;moderate;4351;24;furniture/equipment;good
382;32;male;2;own;little;little;701;12;education;good
383;45;male;2;own;little;rich;14664;6;furniture/equipment;good
384;47;male;3;own;moderate;moderate;4336;7;furniture/equipment;good
385;49;male;3;rent;little;moderate;8944;8;car;good
386;51;female;2;free;rich;moderate;6666;9;car;good
387;53;female;2;own;moderate;moderate;6532;10;furniture/equipment;good
388;55;male;2;own;moderate;rich;3325;11;furniture/equipment;good
389;57;female;2;own;moderate;rich;3577;12;furniture/equipment;good
390;59;male;2;own;moderate;little;2579;13;education;good
391;61;female;2;own;rich;little;6664;14;furniture/equipment;good
392;63;male;2;own;rich;rich;6664;15;furniture/equipment;good
393;65;male;1;rent;little;rich;4568;16;car;good
394;67;male;1;rent;little;moderate;4585;17;car;good
395;69;female;2;own;rich;rich;4602;18;furniture/equipment;good
396;71;male;1;own;rich;little;4619;19;furniture/equipment;good
397;73;male;0;own;moderate;little;4636;20;furniture/equipment;good
398;42;male;2;own;rich;moderate;4653;21;education;good
399;44;female;2;own;little;little;4670;22;car;good
400;46;male;1;own;little;rich;4687;23;car;good
401;48;male;1;free;moderate;moderate;4704;24;car;good
402;50;male;2;own;little;moderate;4721;25;car;good
403;52;male;1;own;rich;moderate;4738;26;education;good
404;54;female;1;own;moderate;moderate;4755;27;education;good
405;56;male;2;rent;moderate;rich;4772;28;education;good
406;58;female;2;free;moderate;rich;4789;29;car;good
407;60;male;2;free;moderate;little;4806;30;car;good
408;62;male;1;own;rich;little;4823;31;furniture/equipment;good
409;64;male;1;own;rich;rich;4840;32;furniture/equipment;good
410;66;male;2;rent;little;rich;4857;33;furniture/equipment;good
411;68;male;1;own;little;moderate;4874;34;education;good
412;70;male;2;own;moderate;rich;4891;35;car;good
413;72;female;2;own;moderate;little;4908;11;car;good
414;74;male;2;own;moderate;little;4925;13;car;good
415;76;male;1;own;rich;moderate;4942;15;car;good
416;55;female;1;own;rich;little;4959;17;furniture/equipment;good
417;57;male;2;own;rich;rich;4976;19;furniture/equipment;good
418;59;male;1;free;little;moderate;4993;21;furniture/equipment;good
419;61;male;1;own;rich;moderate;5010;23;education;good
420;63;female;2;rent;little;moderate;5027;25;car;good
421;65;male;2;own;little;moderate;5044;27;car;good
422;67;male;2;own;moderate;rich;5061;29;car;good
423;69;female;1;rent;little;rich;5078;31;car;good
424;71;female;1;free;rich;little;5095;33;education;good
425;73;male;2;own;moderate;little;5112;35;education;good
426;42;male;1;own;moderate;rich;5129;37;education;good
427;44;male;2;own;moderate;rich;5146;39;education;good
428;46;female;2;own;moderate;moderate;5163;41;education;good
429;48;female;2;own;rich;rich;5180;43;education;good
430;50;male;1;own;rich;little;5197;45;education;good
431;52;male;1;own;little;little;5214;47;education;good
432;54;male;2;own;little;moderate;5231;49;education;good
433;56;male;1;own;moderate;little;5248;7;education;good
434;58;female;1;own;moderate;rich;5265;8;education;good
435;68;male;2;rent;moderate;moderate;5282;9;education;good
436;70;female;1;free;rich;moderate;5299;10;education;good
437;72;male;1;own;rich;moderate;5316;11;education;good
438;74;male;2;own;rich;moderate;5333;12;education;good
439;76;male;1;own;little;rich;5350;13;education;good
440;55;female;0;own;rich;rich;5367;14;education;good
441;57;male;2;own;little;little;5384;15;education;good
442;59;male;2;own;little;little;4266;16;education;good
443;61;male;1;rent;moderate;rich;5000;17;education;good
444;63;male;1;rent;little;rich;5734;18;education;good
445;65;female;2;own;rich;moderate;6468;19;radio/TV;good
446;55;male;1;own;moderate;rich;7202;20;furniture/equipment;good
447;56;male;1;own;moderate;little;7936;21;car;good
448;57;male;2;own;moderate;little;8670;22;vacation/others;good
449;58;male;2;own;moderate;moderate;9404;23;furniture/equipment;good
450;59;female;3;own;rich;little;10138;24;furniture/equipment;good
451;60;female;3;own;rich;rich;4444;25;car;good
452;61;male;2;rent;little;moderate;4777;26;car;good
453;62;female;2;free;little;moderate;5110;27;radio/TV;bad
454;63;male;2;own;moderate;moderate;5443;28;furniture/equipment;good
455;64;female;2;own;moderate;moderate;5776;29;car;good
456;65;male;2;own;moderate;rich;6109;30;vacation/others;good
457;66;male;2;own;rich;rich;6442;31;furniture/equipment;good
458;67;male;2;own;rich;little;6775;32;radio/TV;bad
459;68;female;1;own;rich;little;7108;33;furniture/equipment;good
460;48;male;1;rent;little;rich;7441;34;car;good
461;51;male;2;own;rich;rich;7774;35;vacation/others;good
462;54;male;1;own;little;moderate;8107;36;furniture/equipment;good
463;57;female;0;rent;little;rich;8440;37;furniture/equipment;good
464;60;male;2;free;moderate;little;8773;38;radio/TV;good
465;63;male;2;own;little;little;9106;39;furniture/equipment;good
466;66;male;1;own;rich;moderate;9439;40;car;good
467;69;male;1;own;moderate;little;9772;41;vacation/others;good
468;72;female;2;own;moderate;rich;10105;42;furniture/equipment;good
469;75;male;1;own;moderate;moderate;10438;43;furniture/equipment;good
470;78;female;1;own;moderate;moderate;10771;44;car;good
471;78;male;2;rent;rich;moderate;11104;45;car;good
472;65;male;2;rent;rich;moderate;3555;46;vacation/others;good
473;66;male;2;own;little;rich;3666;44;furniture/equipment;good
474;67;male;1;own;little;rich;3777;44;furniture/equipment;good
475;68;male;1;own;moderate;little;3888;44;car;bad
476;48;male;2;own;moderate;little;3999;44;car;good
477;51;female;1;own;moderate;rich;4110;44;vacation/others;good
478;54;male;2;own;rich;rich;4221;9;furniture/equipment;good
479;57;male;2;free;rich;moderate;4332;10;radio/TV;good
480;60;female;2;own;rich;rich;4443;11;furniture/equipment;good
481;54;male;1;own;little;little;4554;12;car;good
482;57;male;1;rent;rich;little;4665;13;vacation/others;good
483;60;male;2;free;little;moderate;4776;14;furniture/equipment;good
484;63;female;1;own;little;little;4887;15;furniture/equipment;good
485;66;male;1;own;moderate;rich;4998;16;car;good
486;69;male;2;own;little;moderate;5109;17;car;good
487;72;female;2;own;rich;moderate;5220;18;furniture/equipment;good
488;75;female;2;own;moderate;moderate;5331;19;furniture/equipment;good
489;78;male;1;own;moderate;moderate;5442;20;education;good
490;78;male;1;rent;moderate;rich;5553;21;car;good
491;65;male;2;rent;moderate;rich;5664;22;car;good
492;66;female;1;own;rich;little;5775;23;car;good
493;67;female;2;own;rich;little;5886;24;car;good
494;68;male;2;own;little;rich;5997;25;furniture/equipment;good
495;48;male;2;own;little;rich;6108;26;furniture/equipment;good
496;51;male;1;own;moderate;moderate;6219;27;furniture/equipment;good
497;54;male;1;own;moderate;rich;6330;28;education;good
498;57;female;2;free;moderate;little;6441;29;car;good
499;60;male;1;own;rich;little;6552;30;car;good
500;54;female;1;own;rich;moderate;6663;31;car;good
501;57;male;2;own;rich;little;6774;32;car;bad
502;60;male;1;rent;little;rich;6885;33;education;good
503;63;male;1;free;rich;moderate;6996;34;education;good
504;66;female;2;free;little;moderate;7107;35;education;good
505;69;male;1;own;little;moderate;7218;36;education;good
506;72;male;0;own;moderate;moderate;7329;37;education;good
507;75;male;2;own;little;rich;7440;38;education;good
